pert_id,split,signal_l2,n_units,reliable_r_ceiling,noise_floor_B,linear_A_ridge,structured_C,r_ceiling_specific,cross_donor_r,ridge_frac_of_ceiling,causal_frac_of_ceiling
ENSG00000000971,condition,2.082192410881292,5,0.3808388630255432,0.6191611369744567,0.3808388630255432,0.0,0.3918131908457585,0.1323006768843488,1.0071223299593917,0.19556696511665408
ENSG00000001630,condition,3.984178372883152,5,0.7859423755776044,0.21405762442239562,0.7407858147355542,0.04515656084205022,0.7916045676438191,0.4590063542762763,0.9425446925305895,0.40881871536823966
ENSG00000002746,condition,2.267056873634883,6,0.6902155470495733,0.30978445295042667,0.5608891079805893,0.129326439068984,0.6750151888196358,0.3183675754455807,0.8126289104587564,0.2508844053936939
ENSG00000003400,condition,2.248499367161399,8,0.6023178370170315,0.39768216298296855,0.422935789520219,0.17938204749681247,0.6141956853427782,0.2551227858565499,0.7021804162646105,0.9050698247944675
ENSG00000004468,condition,2.5244478997288384,7,0.6127482616084634,0.3872517383915366,0.6127482616084634,0.0,0.6157896857836223,0.311866259466535,1.1565862990900213,0.9908563862148536
ENSG00000004478,condition,2.9143387179971816,4,0.6811338351996469,0.3188661648003531,0.3899473973496221,0.2911864378500248,0.679597309447429,0.3742811264752235,0.5724974699507106,0.49699534951048463
ENSG00000004777,condition,1.844281727104526,8,0.6705474042456165,0.32945259575438346,0.331465086737852,0.3390823175077645,0.6267309729140351,0.3939104603062302,0.49432013999183094,0.526227809040568
ENSG00000004866,condition,1.9311706000681503,8,0.7552998545386398,0.2447001454613602,0.3938127863040822,0.3614870682345576,0.7408968956620179,0.3589518359291981,0.5213992614160307,0.4793743108153011
ENSG00000005020,condition,3.087837250360549,8,0.7545095736218225,0.24549042637817753,0.2311214249618418,0.5233881486599807,0.7436763926648708,0.3848001312891417,0.30632006940933154,0.42632553848421156
ENSG00000005059,condition,3.8137808478685336,7,0.8394500052550831,0.16054999474491694,0.5479021033499231,0.29154790190516,0.8297206994234371,0.5551276368233214,0.6526917623681859,0.5506000690569535
ENSG00000005189,condition,2.078720256009975,7,0.4024275711720917,0.5975724288279083,0.35710554420822405,0.04532202696386767,0.3703217103470204,0.143343693836677,0.8873784248135265,1.0470583308266186
ENSG00000005379,condition,1.7489848569194728,8,0.2925211132720252,0.7074788867279749,0.010969044820511769,0.2815520684515134,0.2179054329279342,0.0458467736395385,0.03749830122624785,1.1380871375470352
ENSG00000005448,condition,2.7366569830598606,8,0.8040827487226715,0.1959172512773285,0.6778102874375518,0.1262724612851197,0.7890982579034151,0.4784927447950069,0.8429608625658115,0.8271843287544683
ENSG00000005469,condition,3.095010832457465,5,0.5779276577184254,0.42207234228157464,0.5779276577184254,0.0,0.6030814341443199,0.4267575463269761,1.0832019117924063,0.31005324367699855
ENSG00000005882,condition,2.475451735996005,8,0.5262470304279486,0.4737529695720514,0.0,0.5262470304279486,0.5504959065965391,0.1893519571463082,-0.5250517658357653,0.7971739021130233
ENSG00000006062,condition,2.9205189296772187,4,0.7747425377770317,0.22525746222296827,0.30832383762714644,0.4664187001498853,0.7739614055069819,0.4615314610353136,0.39796941899152694,0.3073244965741261
ENSG00000006071,condition,1.9694780328088048,8,0.6543088728245448,0.34569112717545525,0.3239224552652892,0.3303864175592556,0.687160069528342,0.412265424372396,0.4950604656589307,0.21227733210246802
ENSG00000006282,condition,2.4910695256959445,7,0.5909892938572443,0.4090107061427557,0.012005263321384173,0.5789840305358601,0.6219038999575243,0.312082694327051,0.02031384230842613,0.35675541204895017
ENSG00000006459,condition,2.267691560873096,7,0.5217353444433835,0.47826465555661646,0.5217353444433835,0.0,0.5371584886430729,0.1984811983386681,1.0758360388809103,0.9081517931023934
ENSG00000006530,condition,2.9938333228791496,7,0.704103141350625,0.295896858649375,0.4007096603186508,0.3033934810319742,0.6691173221127605,0.4171870411076168,0.5691064799824659,0.702909198884181
ENSG00000006555,condition,2.495844801620763,7,0.6625397294781752,0.3374602705218248,0.38344472586828693,0.27909500360988826,0.5893856913166267,0.3122412223823445,0.5787497848171202,0.3663842206110254
ENSG00000006638,condition,2.862705001252316,7,0.6934361177871805,0.3065638822128195,0.4569418464495676,0.23649427133761292,0.6701292796820416,0.3785152611500804,0.6589530523845682,0.34769028751757963
ENSG00000007038,condition,3.0989444793850223,4,0.7657515315406199,0.23424846845938008,0.0,0.7657515315406199,0.7367024901397502,0.4465174759431377,-0.12790418569734455,0.17431734527907566
ENSG00000007129,condition,2.4061652995387552,7,0.7117200641548774,0.28827993584512257,0.6200154992703056,0.0917045648845718,0.7070782440867994,0.4109078684219774,0.8711507943878677,0.37127833799376053
ENSG00000007174,condition,2.100013614301704,7,0.5778749846495028,0.4221250153504972,0.2453170181505274,0.3325579664989754,0.5651448229646571,0.2045617519107503,0.4245157251430756,0.1286765891402268
ENSG00000007264,condition,2.1548186676806385,7,0.7290828282806657,0.27091717171933427,0.5651495206651503,0.1639333076155154,0.7272139289295335,0.3123001110073843,0.7751513253959013,0.4347426917536488
ENSG00000007350,condition,3.358039211161803,7,0.6505284949395316,0.3494715050604684,0.06494279965944154,0.5855856952800901,0.5792790268354354,0.1711584251023725,0.09983083010910714,0.9159279041125229
ENSG00000007376,condition,3.750544829393351,6,0.8131354767861446,0.18686452321385538,0.6315387106726493,0.1815967661134953,0.7836538505275013,0.5173040302938462,0.7766709591478624,0.3746619574512045
ENSG00000007392,condition,2.0371103846013217,7,0.5716337692512293,0.42836623074877067,0.4912505485670715,0.08038322068415782,0.5359371877555794,0.1665026756356426,0.8593798599592007,0.8187738134265439
ENSG00000007968,condition,2.762180666327648,4,0.4999450089910598,0.5000549910089402,0.294607744540412,0.20533726445064782,0.4637960674368085,0.1863204700702883,0.58928029931724,0.7869295080769017
ENSG00000008283,condition,2.7861693236844904,7,0.5512513048584269,0.4487486951415731,0.3078701676187521,0.2433811372396748,0.5137279613207144,0.2657342319911424,0.5584933131320564,0.9063136360642192
ENSG00000008300,condition,1.822714405843654,8,0.6004164025945821,0.39958359740541793,0.35405235184192735,0.24636405075265472,0.5847064943600068,0.1657258910084474,0.5896780139782314,-0.026889729633037884
ENSG00000008394,condition,2.3431476242231986,6,0.6067068283443178,0.3932931716556822,0.4107598292081493,0.19594699913616848,0.5885624089940682,0.2192313117639377,0.6770318216610465,0.6084321966047381
ENSG00000008516,condition,2.303099989775663,4,0.2199651927839725,0.7800348072160275,0.053140297173876305,0.1668248956100962,0.1880703072470337,0.072379685671277,0.24158502761873474,1.186821164377243
ENSG00000010278,condition,2.484081587542733,7,0.7541930402244219,0.2458069597755781,0.0,0.7541930402244219,0.7474280363087614,0.3012545126557126,-0.0325269699028237,0.3981511582077191
ENSG00000010810,condition,2.319951611623175,8,0.7423367825659116,0.2576632174340884,0.29699686557952154,0.4453399169863901,0.752314404512088,0.321565038746437,0.4000837255469708,0.895960367007489
ENSG00000011028,condition,3.2427958553819725,8,0.7392375421523708,0.2607624578476292,0.7017666379950436,0.037470904157327234,0.756731370139203,0.4213527063453571,0.9493114161271807,0.5985716246715617
ENSG00000011422,condition,1.7764875160162312,8,0.5971793897097694,0.40282061029023064,0.4834162130941091,0.11376317661566027,0.6209224884413931,0.2487173141947286,0.8094991579147608,0.6172935241722254
ENSG00000011451,condition,2.698052351186001,7,0.8120405664441481,0.18795943355585187,0.6144184446507539,0.19762212179339422,0.8162086567859864,0.5385859172757154,0.7566351609024121,0.44818921052107213
ENSG00000011478,condition,2.303627985849599,8,0.6290264612767802,0.3709735387232198,0.2790313847272031,0.34999507654957707,0.6881272602696066,0.1376901576014232,0.4435924430918742,0.49411500723909285
ENSG00000011590,condition,4.197423443966874,8,0.8812100459116483,0.11878995408835169,0.7279727659532544,0.15323727995839387,0.8853387426181073,0.6591832996585157,0.8261058408612857,0.6068128205253993
ENSG00000011600,condition,1.7821062728120112,8,0.1613659086084045,0.8386340913915955,0.1613659086084045,0.0,0.1528646529460197,-0.0113585718509723,2.636448831579392,1.5054349321264
ENSG00000012124,condition,1.7355319128173152,8,0.4839160411933147,0.5160839588066852,0.0,0.4839160411933147,0.4994269651965777,0.1195920515776508,-0.6201426825987731,0.7643161977656527
ENSG00000012779,condition,2.707004265067621,5,0.6576801452897828,0.3423198547102172,0.5556544921554644,0.10202565313431844,0.6122680722013215,0.2722254618592066,0.8448704071956368,0.4568330503697153
ENSG00000012817,condition,2.340919994860148,6,0.684065759821753,0.315934240178247,0.271927765804278,0.412137994017475,0.6245423475561679,0.2173068272699655,0.39751699584428,0.5920455988744312
ENSG00000012822,condition,1.7458408805119878,8,0.6247297750446731,0.3752702249553269,0.55755799731513,0.06717177772954308,0.6101749721106894,0.2663680494393812,0.8924786677171905,0.3886541324886003
