pert_id,split,n_units,signal_l2,r_half,r_ceiling,noise_floor,r_ceiling_specific,cross_donor_r,within_donor_r
ENSG00000000971,condition,5,2.082192410881292,0.23520751229069997,0.38083886302554326,0.6191611369744567,0.3918131908457585,0.1323006768843488,
ENSG00000001630,condition,5,3.9841783728831524,0.6473682630604352,0.7859423755776044,0.21405762442239562,0.7916045676438191,0.4590063542762763,
ENSG00000002746,condition,6,2.267056873634883,0.5269688042905002,0.6902155470495733,0.30978445295042667,0.6750151888196358,0.31836757544558075,
ENSG00000003400,condition,8,2.248499367161399,0.43094049059877076,0.6023178370170315,0.39768216298296855,0.6141956853427782,0.25512278585654996,
ENSG00000004468,condition,7,2.5244478997288384,0.4416994008015595,0.6127482616084634,0.3872517383915366,0.6157896857836223,0.31186625946653507,
ENSG00000004478,condition,4,2.9143387179971816,0.5164540977535467,0.6811338351996469,0.3188661648003531,0.679597309447429,0.37428112647522355,
ENSG00000004777,condition,8,1.844281727104526,0.5043785738483754,0.6705474042456165,0.32945259575438346,0.6267309729140351,0.3939104603062302,
ENSG00000004866,condition,8,1.9311706000681503,0.6068126988598371,0.7552998545386398,0.2447001454613602,0.7408968956620179,0.35895183592919816,
ENSG00000005020,condition,8,3.087837250360549,0.6057931539593585,0.7545095736218225,0.24549042637817753,0.7436763926648708,0.38480013128914176,
ENSG00000005059,condition,7,3.8137808478685336,0.7233208470606128,0.8394500052550831,0.16054999474491694,0.8297206994234371,0.5551276368233214,
ENSG00000005189,condition,7,2.078720256009975,0.25189942184176334,0.4024275711720917,0.5975724288279083,0.3703217103470204,0.143343693836677,
ENSG00000005379,condition,8,1.7489848569194728,0.17131755803585988,0.29252111327202523,0.7074788867279748,0.2179054329279342,0.045846773639538575,
ENSG00000005448,condition,8,2.7366569830598606,0.672356509502519,0.8040827487226715,0.1959172512773285,0.7890982579034151,0.4784927447950069,
ENSG00000005469,condition,5,3.095010832457465,0.40639821233791623,0.5779276577184254,0.42207234228157464,0.6030814341443199,0.4267575463269761,
ENSG00000005882,condition,8,2.475451735996005,0.3570795386290283,0.5262470304279486,0.4737529695720514,0.5504959065965391,0.18935195714630826,
ENSG00000006062,condition,4,2.9205189296772187,0.6323099933392177,0.7747425377770317,0.22525746222296827,0.7739614055069819,0.4615314610353136,
ENSG00000006071,condition,8,1.9694780328088048,0.48622515197667193,0.6543088728245448,0.34569112717545525,0.687160069528342,0.41226542437239605,
ENSG00000006282,condition,7,2.4910695256959445,0.4194356304609707,0.5909892938572443,0.4090107061427557,0.6219038999575243,0.312082694327051,
