gene,donor,cond_pred,avg_pred,mean_pred,perm_pred
ENSG00000121410,CE0008162,-0.027068195684416128,0.07746379540792625,0.0607816903001318,0.04938810142543307
ENSG00000103591,CE0008162,-0.030178627240869844,0.04932288796294923,0.003627999483730568,-0.023044027367758083
ENSG00000115977,CE0008162,-0.013019828576036481,0.10558822385306896,-0.15625035223429434,0.1383400658582452
ENSG00000157426,CE0008162,-0.006763777353789836,0.04487478156849055,0.08967430692549211,0.05771008184761704
ENSG00000008311,CE0008162,-0.07214505147225847,-0.11468917720559628,0.07652558641276233,-0.10405838524200313
ENSG00000154265,CE0008162,0.0433304597578883,-0.1661828166179857,-0.0666735214469594,0.008634396924129222
ENSG00000085563,CE0008162,0.03933010202867196,0.0026707027930386825,-0.22414692769908548,0.07572464960225465
ENSG00000197150,CE0008162,-0.17494243474365417,0.019928428489201927,-0.03689362674348562,0.06745819422606426
ENSG00000103222,CE0008162,0.12444902185634926,0.14798361380724467,0.26548508661147396,0.17815250557345597
ENSG00000124574,CE0008162,0.11034877196328556,0.07150196499259164,0.14301204639317544,0.1240825349688568
ENSG00000108846,CE0008162,0.07824465225575539,0.052296032973964984,-0.09149513830462484,0.08990231818168905
ENSG00000125257,CE0008162,-0.015456399118623206,-0.032804377429118174,0.1134245064506673,-0.05406368589893611
ENSG00000006071,CE0008162,0.0016294033320404194,0.020766318656656905,0.18721711376213562,0.07775040567856703
ENSG00000160179,CE0008162,-0.006116276602688802,-0.04054540426119209,-0.1512333655059838,0.006180477549823061
ENSG00000144827,CE0008162,0.11181039209094447,0.005801473253779567,0.10025214227468256,-0.05495643540734593
ENSG00000100997,CE0008162,-0.016258622550353836,-0.04494224674287697,0.009801775431489313,0.028627654373736502
ENSG00000248487,CE0008162,-0.08366558866368431,0.18955526055012567,0.14216031324788136,0.15994093599649373
ENSG00000114779,CE0008162,0.01836438740012338,-0.043670290608869504,0.11423367607130838,-0.11161938521993182
ENSG00000204427,CE0008162,0.21918711888908007,0.13823211383010942,0.14777446320290066,0.04133473195200438
ENSG00000107362,CE0008162,-0.10148845312415011,0.12622998830216986,0.28127821934213104,0.12979882761666234
ENSG00000140526,CE0008162,-0.17200511600563165,0.010641497034015566,-0.16694302327155272,-0.011939969501019724
ENSG00000158201,CE0008162,-0.06585649790540167,0.08924050154963156,-0.028732595506521234,0.09654893111604336
ENSG00000100439,CE0008162,-0.042296114862379275,-0.038717208686620846,-0.2969135311415671,-0.23379660277248726
ENSG00000011198,CE0008162,-0.201909479515556,0.1057416874952375,-0.1082149767550817,0.025250570242641747
ENSG00000163686,CE0008162,-0.10169276140634707,0.036714024455092364,0.19906392473852627,-0.0010864309369771148
ENSG00000136754,CE0008162,-0.050905732743325716,-0.0598937073113482,0.11580864272360027,0.00947057879537718
ENSG00000138443,CE0008162,0.10097909316619166,0.02294847857447671,0.32605894881659936,-0.012245389395010244
ENSG00000097007,CE0008162,0.05403302629291615,0.1567531662154439,0.2672629866010158,-0.00484099473615986
ENSG00000143322,CE0008162,0.14447456925984906,-0.07085282109060569,0.017777849358047982,0.14838579553170336
ENSG00000173210,CE0008162,0.030094119748879874,0.14730881492568487,-0.24163632173406202,0.042595204973837425
ENSG00000163322,CE0008162,-0.01142190596661901,0.05374886220869993,-0.24272185053130488,-0.04662316473595865
ENSG00000165660,CE0008162,0.09141666201309075,-0.08077125913446054,-0.17715596668326108,-0.12327978240687264
ENSG00000114626,CE0008162,-0.03562787361823867,0.08410661321564886,0.25500184093355965,0.1297694852595749
ENSG00000166016,CE0008162,-0.05800092335267106,-0.184514100037379,0.26502347575620433,-0.19466852701220186
ENSG00000060971,CE0008162,0.07551472690085298,-0.02166449057213366,0.18309337752822114,0.1062105518945901
ENSG00000167315,CE0008162,-0.0776411392236722,0.054356582803852846,0.15045365153483975,-0.01936737641563363
ENSG00000278540,CE0008162,0.014472978290151612,0.0792867053465614,0.07565798706794487,-0.07434229778432028
ENSG00000111271,CE0008162,0.24568011732631537,0.017028227351167834,0.1790474977548267,0.07973615875220005
ENSG00000240303,CE0008162,0.27034490232736935,-0.010855342016998028,0.19707463104692594,-0.09273597772036496
ENSG00000151498,CE0008162,-0.033335971152249476,-0.05701853698568024,0.051535654817049005,0.0283945693546721
ENSG00000177646,CE0008162,0.16495508914267698,0.29097158106160453,0.048233115405228906,0.24190440829718607
ENSG00000117054,CE0008162,-0.061745068657635176,0.07870283939115069,-0.20398092263022066,0.10307211452512614
ENSG00000072818,CE0008162,0.05004365868791743,0.12602112637252638,-0.2703743184265682,0.10282273657134754
ENSG00000131584,CE0008162,-0.23989915440373588,-0.010278036909024594,-0.2238325333454315,0.050132987613017856
